"individual","variable","time_idx","value","time"
1,1,1,0.154846480517061,0
2,1,1,-0.0124431452539099,0
3,1,1,0.0590632016885646,0
4,1,1,-0.0168552474935099,0
5,1,1,0.287603323365161,0
6,1,1,-0.0215783894862032,0
7,1,1,0.00549237818873058,0
8,1,1,-0.0218307094708325,0
9,1,1,0.0157758691367693,0
10,1,1,0.285974222613499,0
11,1,1,-0.00449738648350035,0
12,1,1,0.0199862278823333,0
13,1,1,0.114568970522264,0
14,1,1,-0.0302761654845622,0
15,1,1,0.223841182553372,0
16,1,1,-0.00075778196507931,0
17,1,1,0.145891971212034,0
18,1,1,-0.0189622855199971,0
19,1,1,0.200977956258448,0
20,1,1,0.00106662359795935,0
21,1,1,-0.00304364438773235,0
22,1,1,0.105630629550111,0
23,1,1,0.189327702864178,0
24,1,1,0.138956140074982,0
25,1,1,0.00537917888825758,0
26,1,1,0.185957583356551,0
27,1,1,-0.000478817989742369,0
28,1,1,0.183012060342117,0
29,1,1,0.00818238892175413,0
30,1,1,0.138962673023822,0
31,1,1,0.00696315958737062,0
32,1,1,0.118926687251149,0
33,1,1,0.014339512531061,0
34,1,1,-0.0126251924653478,0
35,1,1,0.10233712473178,0
36,1,1,0.124401914465472,0
37,1,1,0.125323538270604,0
38,1,1,0.106588541293071,0
39,1,1,0.29538089389851,0
40,1,1,0.116452004255387,0
41,1,1,0.219254302538611,0
42,1,1,-0.0242678073077936,0
43,1,1,-0.0170716680114918,0
44,1,1,-0.00844827004998435,0
45,1,1,-0.00272735181358483,0
46,1,1,0.00613767130229865,0
47,1,1,0.0451802740819376,0
48,1,1,0.0219321144328839,0
49,1,1,0.0063273080888073,0
50,1,1,0.0293703283999435,0
51,1,1,0.148049891802924,0
52,1,1,0.0211874714294383,0
53,1,1,0.115072654190821,0
54,1,1,0.0451184929961441,0
55,1,1,0.00714577236375245,0
56,1,1,-0.00816236174211742,0
57,1,1,0.366216767005889,0
58,1,1,-0.011163440320367,0
59,1,1,0.164534891804142,0
60,1,1,0.185028832159848,0
61,1,1,0.0490454095802185,0
62,1,1,0.032940204117398,0
63,1,1,0.121987773653605,0
64,1,1,0.00591733257720876,0
65,1,1,-0.00303262740310609,0
66,1,1,0.176258362223426,0
67,1,1,0.0193066615534425,0
68,1,1,0.00498913554089381,0
69,1,1,0.294786461983645,0
70,1,1,0.20377610070578,0
71,1,1,0.00457811271483626,0
72,1,1,0.0114002707575225,0
73,1,1,0.175611401229356,0
74,1,1,0.151411052174767,0
75,1,1,0.0266298084834606,0
76,1,1,0.0662267950566724,0
77,1,1,0.311189947035377,0
78,1,1,0.195385600521044,0
79,1,1,0.0451906723257218,0
80,1,1,0.00165045593762938,0
81,1,1,0.158970184467406,0
82,1,1,0.0292934776415957,0
83,1,1,-0.0272056167725147,0
84,1,1,0.254754220122346,0
85,1,1,0.232645630829995,0
86,1,1,0.159335811832041,0
87,1,1,0.00563244668352036,0
88,1,1,0.0214195584541513,0
89,1,1,-0.0159916477327653,0
90,1,1,0.203283393634453,0
91,1,1,-0.0211159848833153,0
92,1,1,-0.0107228672118254,0
93,1,1,0.278882003684524,0
94,1,1,0.0641827612619192,0
95,1,1,0.140437608411559,0
96,1,1,0.135934909400369,0
97,1,1,-0.0204124912364202,0
98,1,1,0.160433315356502,0
99,1,1,-0.0132690060629359,0
100,1,1,-0.00936111948537163,0
101,1,1,-0.0136779579394038,0
102,1,1,0.0538043096483283,0
103,1,1,-0.00247211475155085,0
104,1,1,-0.0782551704249262,0
105,1,1,0.186242765763354,0
