"individual","variable","time_idx","value","time"
1,1,1,0.171285573244261,0
2,1,1,-0.00477681034603294,0
3,1,1,0.0697867414244706,0
4,1,1,0.157992156857877,0
5,1,1,0.125370383331634,0
6,1,1,0.183914069117764,0
7,1,1,0.253513890658461,0
8,1,1,0.012860334726734,0
9,1,1,-0.0236890304503281,0
10,1,1,0.178872125601503,0
11,1,1,0.0735293299329135,0
12,1,1,0.190697529761555,0
13,1,1,0.00363283168790924,0
14,1,1,0.244163438317973,0
15,1,1,0.175083080742682,0
16,1,1,0.0115959813049292,0
17,1,1,0.254757538689685,0
18,1,1,-0.00828539022197645,0
19,1,1,0.108849431715219,0
20,1,1,0.00240740763836083,0
21,1,1,0.291498442092256,0
22,1,1,0.0124851330807232,0
23,1,1,-0.00191711744625942,0
24,1,1,0.00400254502801155,0
25,1,1,0.00188108417206405,0
26,1,1,0.482885894227544,0
27,1,1,-0.00719474693300257,0
28,1,1,0.00529131999890414,0
29,1,1,-0.0151738682741464,0
30,1,1,0.11885754986261,0
31,1,1,0.240502564532735,0
32,1,1,0.0576560163528743,0
33,1,1,0.169919105654789,0
34,1,1,-0.00024469343337661,0
35,1,1,-0.00466777806830528,0
36,1,1,0.0989950170009463,0
37,1,1,0.0175055004677122,0
38,1,1,0.128609698129641,0
39,1,1,0.116791684679474,0
40,1,1,0.135176985059765,0
41,1,1,0.172154290352512,0
42,1,1,-0.00388414593609732,0
43,1,1,0.00144294251086829,0
44,1,1,0.154046838042591,0
45,1,1,0.283100055347624,0
46,1,1,0.000661097490610904,0
47,1,1,0.00646368384320877,0
48,1,1,0.207160723801264,0
49,1,1,0.0151627750943408,0
50,1,1,0.0387447307288172,0
51,1,1,0.00554453066298253,0
52,1,1,0.245732011429789,0
53,1,1,-0.00699580644751629,0
54,1,1,0.191853845810861,0
55,1,1,0.18780758902039,0
56,1,1,0.236442316182572,0
57,1,1,0.224728391980184,0
58,1,1,-0.0228065322172121,0
59,1,1,0.0131962217610841,0
60,1,1,-0.00920115134935784,0
61,1,1,0.145603258973668,0
62,1,1,0.0254295776288413,0
63,1,1,0.0183168441606223,0
64,1,1,0.357394520376377,0
65,1,1,0.0108337897357901,0
66,1,1,-0.0646659251263274,0
67,1,1,-0.0134001234749101,0
68,1,1,0.143210457979464,0
69,1,1,0.00571450356371089,0
70,1,1,0.0311971892864076,0
71,1,1,0.0272465213486222,0
72,1,1,0.0164200256974034,0
73,1,1,0.155437488674249,0
74,1,1,-0.00523646945370078,0
75,1,1,0.00550154485749155,0
76,1,1,0.146251218203453,0
77,1,1,-0.00296469511554516,0
78,1,1,0.0835426153208235,0
79,1,1,0.0371635244177479,0
80,1,1,0.00588959940528195,0
81,1,1,0.109073397281259,0
82,1,1,0.281365165379443,0
83,1,1,0.291751654593615,0
84,1,1,-0.0177546601352583,0
85,1,1,0.00168610632635304,0
86,1,1,-0.0617171159320137,0
87,1,1,0.251394232486724,0
88,1,1,0.00362481122737898,0
89,1,1,-0.0258117221747503,0
90,1,1,0.315559318034939,0
91,1,1,0.0609351201055055,0
92,1,1,0.186473402420606,0
93,1,1,0.0280810182349189,0
94,1,1,0.361154645730945,0
95,1,1,0.0111358989039151,0
96,1,1,0.1636164645694,0
97,1,1,-0.0090222385874161,0
98,1,1,0.0186217471689364,0
99,1,1,-0.0187429879777937,0
100,1,1,0.195359233986669,0
101,1,1,0.302736540813595,0
102,1,1,0.0259677681880708,0
103,1,1,-0.00164519998727071,0
104,1,1,0.0163334815833421,0
105,1,1,-0.0325270113694692,0
106,1,1,0.174281411673895,0
107,1,1,0.172994254359433,0
108,1,1,-0.000379923372861961,0
109,1,1,0.169836292267553,0
110,1,1,0.235128536125429,0
111,1,1,-0.0176290661718349,0
112,1,1,0.023223455128799,0
113,1,1,-0.0254501264683408,0
114,1,1,-0.00675937063431468,0
115,1,1,0.016531976487414,0
116,1,1,0.177923190499398,0
117,1,1,0.303007189425293,0
118,1,1,0.171654078071328,0
119,1,1,0.0978925499091456,0
120,1,1,0.202489290318936,0
121,1,1,0.0250869623771385,0
122,1,1,0.187002519871941,0
123,1,1,0.149886464507002,0
124,1,1,0.0980251157917246,0
125,1,1,0.01894076752335,0
126,1,1,0.0224677047490594,0
127,1,1,-0.00429908841149947,0
128,1,1,0.00259566088969578,0
129,1,1,0.0369079877032147,0
130,1,1,0.230254943583148,0
131,1,1,-0.00332141688682726,0
132,1,1,0.157924578691366,0
133,1,1,0.131222443301877,0
134,1,1,0.0385040915302273,0
135,1,1,0.2122240413123,0
