"individual","time_idx","value","time"
1,1,0.887353461774938,0
2,1,-0.0549386344072026,0
3,1,0.480406906975284,0
4,1,0.717808086421405,0
5,1,0.720466000315204,0
6,1,1.28175666285842,0
7,1,1.34851569287508,0
8,1,-0.117919324759045,0
9,1,1.18340253553167,0
10,1,1.14017228459359,0
11,1,0.368874536555859,0
12,1,0.932933834999993,0
13,1,1.14901999491939,0
14,1,1.41906587297594,0
15,1,1.02215255300306,0
16,1,0.695628626073744,0
17,1,1.42311140393942,0
18,1,0.768984003696747,0
19,1,0.692393428200447,0
20,1,-0.158990646021392,0
21,1,1.41490266546708,0
22,1,1.31645161084582,0
23,1,1.52099277900365,0
24,1,-0.107777879242738,0
25,1,-0.198298813370996,0
26,1,2.24496860980652,0
27,1,0.442590665070266,0
28,1,0.338265844754939,0
29,1,1.72764457895369,0
30,1,0.828032781470541,0
31,1,1.20216610857891,0
32,1,0.149564035151889,0
33,1,1.03575946263966,0
34,1,0.0838914980506428,0
35,1,0.745089564918108,0
36,1,0.477409698645653,0
37,1,1.18474202781083,0
38,1,0.763897377980541,0
39,1,0.721047461138901,0
40,1,0.665090318040188,0
41,1,1.03406367813234,0
42,1,-0.264515454404353,0
43,1,-0.212406921805851,0
44,1,0.903883640188573,0
45,1,1.30800031199518,0
46,1,-0.105282189944803,0
47,1,1.47247014166703,0
48,1,1.23493763209817,0
49,1,-0.0733294971908933,0
50,1,-0.140555226343583,0
51,1,-0.211285090689791,0
52,1,1.29841635471057,0
53,1,0.909096873732785,0
54,1,0.869917436114876,0
55,1,1.30595141434482,0
56,1,1.13737572997399,0
57,1,1.16899578162934,0
58,1,0.749037804856489,0
59,1,-0.133003761648673,0
60,1,1.57204348246782,0
61,1,0.868713328241428,0
62,1,0.161851658194822,0
63,1,-0.149828077008794,0
64,1,1.67870649527926,0
65,1,0.2103713824533,0
66,1,-0.287865616772486,0
67,1,-0.0874840652748978,0
68,1,0.734373044400943,0
69,1,-0.314327414672895,0
70,1,0.0266131746532034,0
71,1,0.237661234004466,0
72,1,0.923274643067679,0
73,1,0.981408466067668,0
74,1,-0.222013639179199,0
75,1,0.154596215456018,0
76,1,0.916930075163064,0
77,1,-0.270011922412239,0
78,1,0.483211696227949,0
79,1,0.252134782777927,0
80,1,1.51320288100741,0
81,1,0.530579546741905,0
82,1,1.59223811231396,0
83,1,1.69102340596418,0
84,1,-0.243043087227166,0
85,1,0.386231757388181,0
86,1,-0.179857252867814,0
87,1,1.40986681784503,0
88,1,0.856612756633134,0
89,1,2.08351110493855,0
90,1,1.65732031788166,0
91,1,0.376488344344767,0
92,1,1.01839806302274,0
93,1,0.902498667655575,0
94,1,1.92612252193823,0
95,1,1.96518872483475,0
96,1,0.897413999449072,0
97,1,-0.12001913001113,0
98,1,-0.302078783360803,0
99,1,0.36475950113325,0
100,1,1.38754929421714,0
101,1,1.73818280552534,0
102,1,-0.155427927200298,0
103,1,-0.128801219035457,0
104,1,-0.187094097113461,0
105,1,-0.176301197092305,0
106,1,1.12584838369723,0
107,1,0.856466291797007,0
108,1,-0.261093755516436,0
109,1,0.819559460457506,0
110,1,1.06304226002623,0
111,1,0.480907594457304,0
112,1,1.81204259547001,0
113,1,1.19997513383224,0
114,1,1.95770494357994,0
115,1,1.19119977753161,0
116,1,1.3074913370253,0
117,1,1.42027446997217,0
